label,perc
christine blasey ford,0.07
supreme nominee brett,0.045
nominee brett kavanaugh,0.045
judge brett kavanaugh,0.024
brett kavanaugh supreme,0.019
professor christine blasey,0.012
kavanaugh sexually assaulted,0.011000000000000001
blasey ford kavanaugh,0.011000000000000001
brett kavanaugh sexually,0.01
kavanaugh christine blasey,0.008
brett kavanaugh christine,0.008
palo alto university,0.006999999999999999
leader mitch mcconnell,0.006999999999999999
christine blasey ford's,0.006999999999999999
brett kavanaugh's confirmation,0.006999999999999999
senate leader mitch,0.006
professor palo alto,0.006
confirmation brett kavanaugh,0.006
brett kavanaugh assault,0.006
blasey ford senate,0.006
accuser christine blasey,0.006
supreme nominee judge,0.005
nominee judge brett,0.005
kavanaugh's confirmation hearings,0.005
kavanaugh sexually assaulting,0.005
kavanaugh senate judiciary,0.005
allegations supreme nominee,0.005
trump's supreme nominee,0.004
susan collins maine,0.004
supreme brett kavanaugh,0.004
sexually assaulted teenagers,0.004
psychology professor palo,0.004
kavanaugh supreme nominee,0.004
kavanaugh assault allegations,0.004
ford supreme nominee,0.004
ford kavanaugh testify,0.004
deppisch joanie greve,0.004
confirm brett kavanaugh,0.004
brett kavanaugh's supreme,0.004
brett kavanaugh's nomination,0.004
brett kavanaugh senate,0.004
brett kavanaugh donald,0.004
breanne deppisch joanie,0.004
blasey ford testified,0.004
blasey ford california,0.004
washington supreme nominee,0.003
university professor christine,0.003
trump's nominee supreme,0.003
testify senate judiciary,0.003
testified senate judiciary,0.003
senate judiciary supreme,0.003
senate judiciary kavanaugh,0.003
senate brett kavanaugh,0.003
psychology professor christine,0.003
misconduct allegations supreme,0.003
lisa murkowski alaska,0.003
kavanaugh's supreme nomination,0.003
kavanaugh's nomination supreme,0.003
kavanaugh trump's nominee,0.003
kavanaugh donald trump,0.003
kavanaugh categorically unequivocally,0.003
kavanaugh allegations misconduct,0.003
kavanaugh accuser christine,0.003
judge alex kozinski,0.003
ford testified senate,0.003
ford senate judiciary,0.003
ford psychology professor,0.003
ford deborah ramirez,0.003
ford allegations kavanaugh,0.003
donald trump's supreme,0.003
donald trump nominated,0.003
district columbia circuit,0.003
