label,perc
crime and criminals,0.759698275862
politics and government,0.725215517241
sex crimes,0.724137931034
united states politics and government,0.422413793103
women,0.280172413793
appointments and executive changes,0.14224137931
elections,0.140086206897
ethics,0.10021551724099999
education and schools,0.09482758620689999
biographical information,0.07974137931030001
news and news media,0.0625
media,0.04525862068969999
children and youth,0.0355603448276
discrimination,0.0323275862069
courts,0.0323275862069
sexual harassment,0.0258620689655
blacks,0.0247844827586
computers and the internet,0.023706896551700003
suits and litigation,0.023706896551700003
television,0.023706896551700003
presidents and presidency (us),0.0226293103448
colleges and universities,0.0215517241379
medicine and health,0.0193965517241
judges,0.0183189655172
motion pictures,0.0172413793103
law and legislation,0.014008620689700001
demonstrations and riots,0.014008620689700001
presidential elections (us),0.012931034482799999
international relations,0.012931034482799999
abortion,0.011853448275899998
books and literature,0.010775862069
finances,0.00969827586207
child abuse and neglect,0.00969827586207
homosexuality,0.00862068965517
labor,0.00862068965517
public opinion,0.00862068965517
christians and christianity,0.00754310344828
religion and churches,0.00754310344828
united states international relations,0.00754310344828
murders and attempted murders,0.00754310344828
"suspensions, dismissals and resignations",0.00754310344828
sentences (criminal),0.00754310344828
legal profession,0.00754310344828
advertising and marketing,0.006465517241380001
terrorism,0.006465517241380001
drug abuse and traffic,0.004310344827590001
basketball,0.004310344827590001
theater,0.004310344827590001
