label,perc
spacey,0.462
kevin,0.309
weinstein,0.155
allegations,0.15
harassment,0.125
harvey,0.10300000000000001
assault,0.09699999999999999
rapp,0.08199999999999999
misconduct,0.081
accusations,0.071
abuse,0.057999999999999996
cards,0.05
anthony,0.040999999999999995
media,0.037000000000000005
matt,0.037000000000000005
lauer,0.037000000000000005
victims,0.035
netflix,0.033
producer,0.032
los,0.032
cosby,0.032
angeles,0.032
louis,0.031
campaign,0.03
burke,0.03
oscar,0.026000000000000002
celebrity,0.026000000000000002
tarana,0.025
scandal,0.025
time's,0.024
survivors,0.024
james,0.024
trump,0.023
hashtag,0.022000000000000002
plummer,0.021
franken,0.021
charlie,0.021
apologized,0.021
actors,0.021
globes,0.02
getty,0.02
sexually,0.019
inappropriate,0.019
christopher,0.019
workplace,0.018000000000000002
williams,0.018000000000000002
rape,0.018000000000000002
dozens,0.018000000000000002
actress,0.018000000000000002
scott,0.017
reshoots,0.017
metoo,0.017
buzzfeed,0.017
advances,0.016
wright,0.015
awards,0.015
winner,0.013999999999999999
tv,0.013999999999999999
feminist,0.013999999999999999
activist,0.013999999999999999
academy,0.013999999999999999
violence,0.013000000000000001
twitter,0.013000000000000001
reckoning,0.013000000000000001
mogul,0.013000000000000001
gender,0.013000000000000001
reportedly,0.012
rally,0.012
predators,0.012
paul,0.012
nominations,0.012
moore,0.012
milano,0.012
brett,0.012
alyssa,0.012
allen,0.012
wahlberg,0.011000000000000001
toback,0.011000000000000001
sparked,0.011000000000000001
roy,0.011000000000000001
ridley,0.011000000000000001
meyers,0.011000000000000001
donald,0.011000000000000001
co-star,0.011000000000000001
ceremony,0.011000000000000001
year's,0.01
witch,0.01
vic,0.01
unwanted,0.01
ratner,0.01
michelle,0.01
john,0.01
groped,0.01
global,0.01
franco,0.01
founder,0.01
comedian,0.01
argento,0.01
tweet,0.009000000000000001
supporters,0.009000000000000001
solidarity,0.009000000000000001
seagal,0.009000000000000001
robin,0.009000000000000001
revelations,0.009000000000000001
nominee,0.009000000000000001
london,0.009000000000000001
high-profile,0.009000000000000001
earned,0.009000000000000001
downfall,0.009000000000000001
district,0.009000000000000001
arguing,0.009000000000000001
ansari,0.009000000000000001
anchor,0.009000000000000001
american,0.009000000000000001
viral,0.008
united,0.008
opinion,0.008
mcgowan,0.008
criminal,0.008
toppling,0.006999999999999999
steven,0.006999999999999999
senate,0.006999999999999999
prosecutors,0.006999999999999999
online,0.006999999999999999
jury,0.006999999999999999
judd,0.006999999999999999
hoffman,0.006999999999999999
fox,0.006999999999999999
dustin,0.006999999999999999
dreyfuss,0.006999999999999999
donate,0.006999999999999999
consent,0.006999999999999999
backlash,0.006999999999999999
asia,0.006999999999999999
advocate,0.006999999999999999
1.5,0.006999999999999999
usa,0.006
topic,0.006
tambor,0.006
starred,0.006
sixth,0.006
seth,0.006
reshot,0.006
photo,0.006
momentum,0.006
masterson,0.006
kicked,0.006
journalists,0.006
industries,0.006
hart,0.006
french,0.006
film's,0.006
expose,0.006
erased,0.006
disgraced,0.006
danny,0.006
california,0.006
breakers,0.006
billionaire,0.006
attorney's,0.006
anti,0.006
yorker,0.005
woody,0.005
underwood,0.005
trek,0.005
surrounding,0.005
spotlight,0.005
sports,0.005
sony,0.005
slammed,0.005
reviewing,0.005
reuters,0.005
replacing,0.005
prompting,0.005
outed,0.005
o'reilly,0.005
nbc's,0.005
movie's,0.005
movement's,0.005
moonves,0.005
michael,0.005
mentions,0.005
lewinsky,0.005
kidnapping,0.005
jurors,0.005
