label,perc
senate roy moore,0.057999999999999996
alabama senate roy,0.028999999999999998
roy moore alabama,0.026000000000000002
republican roy moore,0.026000000000000002
democrat doug jones,0.026000000000000002
roy moore republican,0.013000000000000001
roy moore misconduct,0.011000000000000001
judge roy moore,0.01
roy moore senate,0.009000000000000001
roy moore allegations,0.009000000000000001
moore republican senate,0.009000000000000001
trump roy moore,0.008
roy moore donald,0.008
republican senate roy,0.008
moore donald trump,0.006999999999999999
alabama roy moore,0.006999999999999999
roy moore franken,0.006
roy moore accuser,0.006
moore republican nominee,0.006
roy moore pursuing,0.005
republican senate alabama,0.005
moore senate alabama,0.005
gop senate roy,0.005
defeating republican roy,0.005
allegations roy moore,0.005
alabama senate election,0.005
alabama republican senate,0.005
trump alabama senate,0.004
roy moore unwanted,0.004
roy moore sexually,0.004
republicans roy moore,0.004
republican nominee senate,0.004
producer harvey weinstein,0.004
moore unwanted advances,0.004
moore alabama senate,0.004
molester roy moore,0.004
endorsed roy moore,0.004
doug jones republican,0.004
child molester roy,0.004
alabama republican roy,0.004
weinstein roy moore,0.003
washington roy moore,0.003
unwanted advances teenagers,0.003
tilt defeating republican,0.003
sullivan michael scherer,0.003
senatorial roy moore,0.003
sean sullivan michael,0.003
scherer paul kane,0.003
roy moore trump,0.003
roy moore speaks,0.003
roy moore pedophile,0.003
roy moore gop,0.003
roy moore alabama's,0.003
roy moore accusations,0.003
rob porter roy,0.003
reacts roy moore,0.003
porter roy moore,0.003
o'reilly roger ailes,0.003
nominee senate alabama,0.003
moore's senate campaign,0.003
moore misconduct accusations,0.003
moore alabama republican,0.003
moore accuser groped,0.003
misconduct weinstein allegations,0.003
michael scherer paul,0.003
leigh corfman moore,0.003
jones republican roy,0.003
jones defied tilt,0.003
irony bragged assault,0.003
handmaids roy moore,0.003
gop reacts roy,0.003
election democrat doug,0.003
elect roy moore,0.003
doug jones upset,0.003
doug jones election,0.003
donald trump misconduct,0.003
defied tilt defeating,0.003
bragged assault sits,0.003
assault sits oval,0.003
allegations misconduct teenage,0.003
alabama misconduct minors,0.003
advances teenage 30s,0.003
women's propensity deceive,0.002
women's ingrained women's,0.002
week's moore overturn,0.002
washington investigative reporting,0.002
washington dated moore,0.002
victims assault harassment,0.002
unwanted advances teenage,0.002
trump's roy moore,0.002
trump senate roy,0.002
trump credibility moore's,0.002
teenager district 1980s,0.002
tax republican roy,0.002
tarana burke founder,0.002
susan collins r-maine,0.002
sits oval repeatedly,0.002
senate republicans moore,0.002
senate nominee alabama,0.002
senate judge roy,0.002
senate franken referring,0.002
senate democrats franken,0.002
senate alabama misconduct,0.002
senate alabama credibly,0.002
roy moore's senate,0.002
roy moore's accusers,0.002
roy moore women's,0.002
roy moore supporters,0.002
roy moore oak,0.002
roy moore o'reilly,0.002
roy moore molesting,0.002
roy moore fox,0.002
roy moore fairhope,0.002
roy moore election,0.002
roy moore conservative,0.002
roy moore campaign,0.002
roy moore assault,0.002
