term,left_bin,left_perc,right_bin,right_perc
ruth bader ginsburg,8.0,0.01,0.0,0.0
activist tarana burke,5.0,0.006999999999999999,0.0,0.0
founder tarana burke,5.0,0.006,0.0,0.0
tarana burke founder,4.0,0.005,1.0,0.001
producer harvey weinstein,4.0,0.005,10.0,0.013999999999999999
harvey weinstein misconduct,3.0,0.004,3.0,0.003
actress alyssa milano,3.0,0.004,0.0,0.0
mogul harvey weinstein,3.0,0.003,5.0,0.006
harvey weinstein assault,3.0,0.003,0.0,0.0
harassment assault workplace,3.0,0.003,0.0,0.0
blah blah blah,3.0,0.003,0.0,0.0
weinstein industries democratic,2.0,0.002,0.0,0.0
victims harassment assault,2.0,0.002,3.0,0.003
victim senate 2nd,2.0,0.002,0.0,0.0
survivors assault harassment,2.0,0.002,0.0,0.0
supreme ruth bader,2.0,0.002,0.0,0.0
supreme nominee brett,2.0,0.002,3.0,0.004
sparked viral hashtag,2.0,0.002,0.0,0.0
senate 2nd supreme,2.0,0.002,0.0,0.0
rozic mandated robust,2.0,0.002,0.0,0.0
robust harassment employers,2.0,0.002,0.0,0.0
politically allegations ruin,2.0,0.002,0.0,0.0
participants assault harassment,2.0,0.002,0.0,0.0
nominee brett kavanaugh,2.0,0.002,3.0,0.004
nily rozic mandated,2.0,0.002,0.0,0.0
movimiento persona año,2.0,0.002,0.0,0.0
matt lauer charlie,2.0,0.002,0.0,0.0
mandated robust harassment,2.0,0.002,0.0,0.0
lexington herald leader,2.0,0.002,0.0,0.0
kate mckinnon's snl,2.0,0.002,0.0,0.0
industries democratic assemblywoman,2.0,0.002,0.0,0.0
huffpost c'est vie,2.0,0.002,0.0,0.0
hashtag assault harassment,2.0,0.002,0.0,0.0
harvey weinstein rape,2.0,0.002,0.0,0.0
harvey weinstein industries,2.0,0.002,0.0,0.0
harassment los angeles,2.0,0.002,0.0,0.0
ginsburg kate mckinnon's,2.0,0.002,0.0,0.0
education betsy devos,2.0,0.002,0.0,0.0
democratic assemblywoman nily,2.0,0.002,0.0,0.0
credited countering abuse,2.0,0.002,0.0,0.0
countering abuse misconduct,2.0,0.002,0.0,0.0
cine harvey weinstein,2.0,0.002,0.0,0.0
bader ginsburg kate,2.0,0.002,0.0,0.0
assemblywoman nily rozic,2.0,0.002,0.0,0.0
assault harassment los,2.0,0.002,0.0,0.0
assault harassment campaign,2.0,0.002,0.0,0.0
alyssa milano tweeted,2.0,0.002,0.0,0.0
allegations ruin someone's,2.0,0.002,0.0,0.0
allegations producer harvey,2.0,0.002,0.0,0.0
activist alyssa milano,2.0,0.002,0.0,0.0
accuse harvey weinstein,2.0,0.002,0.0,0.0
2nd supreme democrats,2.0,0.002,0.0,0.0
ópera culpa suicidio,1.0,0.001,0.0,0.0
éxito campaña frente,1.0,0.001,0.0,0.0
événement femmes femmes,1.0,0.001,0.0,0.0
ça parce peu,1.0,0.001,0.0,0.0
ángeles pionero ejemplo,1.0,0.001,0.0,0.0
zuhair murad gown,1.0,0.001,0.0,0.0
zip bonobos empowerment,1.0,0.001,0.0,0.0
zany terry crews,1.0,0.001,0.0,0.0
yuma lawmaker misconduct,1.0,0.001,0.0,0.0
yorker's viral women's,1.0,0.001,0.0,0.0
yorker weinstein raped,1.0,0.001,0.0,0.0
yorker bombshell assault,1.0,0.001,0.0,0.0
yorker babe.net aziz,1.0,0.001,0.0,0.0
yorker accusing eric,1.0,0.001,0.0,0.0
york's democratic women's,1.0,0.001,0.0,0.0
yoga practitioners initiated,1.0,0.001,0.0,0.0
yoga futile differentiate,1.0,0.001,0.0,0.0
yen chino allegations,1.0,0.001,0.0,0.0
year's solidarity survivors,1.0,0.001,0.0,0.0
year's presidential reportedly,1.0,0.001,0.0,0.0
year's galvanized avalanche,1.0,0.001,0.0,0.0
year's essays charlottesville,1.0,0.001,0.0,0.0
year's dvf awards,1.0,0.001,0.0,0.0
xixi beihang university,1.0,0.001,0.0,0.0
xenophobia dismissing burka-clad,1.0,0.001,0.0,0.0
wyatt triggers revolt,1.0,0.001,0.0,0.0
www.rollingstone.com ruth bader,1.0,0.001,0.0,0.0
wrongly politicizing nomination,1.0,0.001,0.0,0.0
wronged exploded careers,1.0,0.001,0.0,0.0
writer nick jack,1.0,0.001,0.0,0.0
writer divorces surgery,1.0,0.001,0.0,0.0
wrestling florian brie's,1.0,0.001,0.0,0.0
world's most-recognizable supermodels,1.0,0.001,0.0,0.0
world's homicide brazilian,1.0,0.001,0.0,0.0
workplaces sparked physicians,1.0,0.001,0.0,0.0
workplaces privilege weapons,1.0,0.001,0.0,0.0
workplaces assault victims,1.0,0.001,0.0,0.0
workplace victims privilege,1.0,0.001,0.0,0.0
workplace trickled classrooms,1.0,0.001,0.0,0.0
workplace solidarity transforming,1.0,0.001,0.0,0.0
workplace roiling brazil,1.0,0.001,0.0,0.0
workplace ndas survivors,1.0,0.001,0.0,0.0
workplace misconduct systemic,1.0,0.001,0.0,0.0
workplace kelly echo,1.0,0.001,0.0,0.0
workplace harassment digital,1.0,0.001,0.0,0.0
workplace harassment child,1.0,0.001,0.0,0.0
workplace fictional abused,1.0,0.001,0.0,0.0
workplace equality assault,1.0,0.001,0.0,0.0
workplace celebrities uncomfortable,1.0,0.001,0.0,0.0
"workplace 2,000 swedish",1.0,0.001,0.0,0.0
woody allen resurfaced,1.0,0.001,0.0,0.0
woody allen recommends.ap/matt,1.0,0.001,0.0,0.0
woody allen questionou,1.0,0.001,0.0,0.0
woodson victims abuse,1.0,0.001,0.0,0.0
woodley suquamish tribe,1.0,0.001,0.0,0.0
women's women's women's,1.0,0.001,0.0,0.0
women's washington scathing,1.0,0.001,0.0,0.0
women's violation disrespect,1.0,0.001,0.0,0.0
women's sudan lexington,1.0,0.001,0.0,0.0
women's spectrum gender-related,1.0,0.001,0.0,0.0
women's sorts survivors,1.0,0.001,0.0,0.0
women's scrutinizes repression,1.0,0.001,0.0,0.0
women's satellite marches,1.0,0.001,0.0,0.0
women's predators preyed,1.0,0.001,0.0,0.0
women's people's climate,1.0,0.001,0.0,0.0
women's outspoken harassment,1.0,0.001,0.0,0.0
women's launch stepping,1.0,0.001,0.0,0.0
women's imminent neutrality,1.0,0.001,0.0,0.0
women's gymnastics molested,1.0,0.001,0.0,0.0
women's empowerment emblem,1.0,0.001,0.0,0.0
women's clubs arguing,1.0,0.001,0.0,0.0
women's brand empowering,1.0,0.001,0.0,0.0
women's basketball lisa,1.0,0.001,0.0,0.0
women's assault harassment,1.0,0.001,0.0,0.0
women's additionally midst,1.0,0.001,0.0,0.0
wolf blitzer intoning,1.0,0.001,0.0,0.0
witte twitter newsweek,1.0,0.001,0.0,0.0
witte survivor harassment,1.0,0.001,0.0,0.0
witches goth satanists,1.0,0.001,0.0,0.0
witch-hunters correctness frenzy,1.0,0.001,0.0,0.0
witch witch-hunters correctness,1.0,0.001,0.0,0.0
witch actress brigitte,1.0,0.001,0.0,0.0
wiping cheeks resorted,1.0,0.001,1.0,0.001
wipes scott's ailes,1.0,0.001,0.0,0.0
wipes brow survived,1.0,0.001,0.0,0.0
winners wipes brow,1.0,0.001,0.0,0.0
winner sexually assaulted,1.0,0.001,0.0,0.0
winner sexist audition,1.0,0.001,0.0,0.0
winfrey's globes sexually,1.0,0.001,0.0,0.0
winfrey negado interés,1.0,0.001,0.0,0.0
winfrey harassment assault,1.0,0.001,0.0,0.0
winfrey electrifying harassment,1.0,0.001,0.0,0.0
wilson autour mouvement,1.0,0.001,0.0,0.0
willis resiliency encouragement,1.0,0.001,0.0,0.0
williams venom michelle,1.0,0.001,0.0,0.0
williams founder tarana,1.0,0.001,0.0,0.0
williams creer pasado,1.0,0.001,0.0,0.0
williams actresses carpet,1.0,0.001,0.0,0.0
wiliams founder gender,1.0,0.001,0.0,0.0
wields culturally legally,1.0,0.001,0.0,0.0
widening assault harassment,1.0,0.001,0.0,0.0
widen gap trump,1.0,0.001,0.0,0.0
who've harassment assault,1.0,0.001,0.0,0.0
who've accuse assault,1.0,0.001,0.0,0.0
whitney curtis getty,1.0,0.001,0.0,0.0
whispers rashida jones,1.0,0.001,0.0,0.0
whirlwind mom's tweet,1.0,0.001,0.0,0.0
whimper cataclysmic bang,1.0,0.001,0.0,0.0
wheelhouse breezy uplifting,1.0,0.001,0.0,0.0
western time's explode,1.0,0.001,0.0,0.0
western galvanized assault,1.0,0.001,1.0,0.001
west-muse ian connor,1.0,0.001,0.0,0.0
wendy's adhere protects,1.0,0.001,0.0,0.0
well-dressed attendees plançon,1.0,0.001,0.0,0.0
well-being bonoboësque imperative,1.0,0.001,0.0,0.0
welcomed actress activist,1.0,0.001,0.0,0.0
weir's highlight harassment,1.0,0.001,0.0,0.0
weinstein's predatory media,1.0,0.001,0.0,0.0
weinstein's predatory hashtag,1.0,0.001,0.0,0.0
weinstein's misconduct revelations,1.0,0.001,0.0,0.0
weinstein's media awakened,1.0,0.001,0.0,0.0
weinstein's harassment abuse,1.0,0.001,0.0,0.0
weinstein's crumbled cinematic,1.0,0.001,0.0,0.0
weinstein unleashed dammed-up,1.0,0.001,0.0,0.0
weinstein tweeted extensively,1.0,0.001,0.0,0.0
weinstein time's inclusion,1.0,0.001,0.0,0.0
weinstein sentem temer,1.0,0.001,0.0,0.0
weinstein scandal triggered,1.0,0.001,0.0,0.0
weinstein relive memories,1.0,0.001,0.0,0.0
weinstein relentlessness attacking,1.0,0.001,0.0,0.0
weinstein refusing advances,1.0,0.001,0.0,0.0
weinstein raped cannes,1.0,0.001,0.0,0.0
weinstein propelled mainstream,1.0,0.001,0.0,0.0
weinstein nears cbs,1.0,0.001,0.0,0.0
weinstein misconduct spark,1.0,0.001,0.0,0.0
weinstein misconduct scores,1.0,0.001,0.0,0.0
weinstein milano tweet,1.0,0.001,0.0,0.0
weinstein might've intolerable,1.0,0.001,0.0,0.0
weinstein metoo harassment,1.0,0.001,0.0,0.0
weinstein media campaign,1.0,0.001,0.0,0.0
weinstein matt lauer,1.0,0.001,2.0,0.002
weinstein mario batali,1.0,0.001,0.0,0.0
weinstein lawsuit sends,1.0,0.001,0.0,0.0
weinstein insurrection reluctant,1.0,0.001,0.0,0.0
weinstein hotel metoo,1.0,0.001,0.0,0.0
weinstein harassment exposé,1.0,0.001,0.0,0.0
weinstein deposed left-leaning,1.0,0.001,0.0,0.0
weinstein behind-the-scenes abuse,1.0,0.001,0.0,0.0
weinstein atrocities metoo,1.0,0.001,0.0,0.0
weinstein assault scandal,1.0,0.001,0.0,0.0
weinstein assault harassment,1.0,0.001,0.0,0.0
"weinstein assault 380,000",1.0,0.001,0.0,0.0
weinstein alleged predators,1.0,0.001,0.0,0.0
weinstein acoso abuso,1.0,0.001,0.0,0.0
weinstein accuser assault,1.0,0.001,0.0,0.0
weinberg legislature's anti-harassment,1.0,0.001,0.0,0.0
weighing compliance handles,1.0,0.001,0.0,0.0
weighed broader tweeting,1.0,0.001,0.0,0.0
weigh rally harassment,1.0,0.001,0.0,0.0
weibo chinese social-media,1.0,0.001,0.0,0.0
wedded harvey weinstein,1.0,0.001,0.0,0.0
website babe arguably,1.0,0.001,0.0,0.0
website assault harassment,1.0,0.001,0.0,0.0
weaponization weaponry kavanaugh,1.0,0.001,0.0,0.0
wealthy cisgender actresses,1.0,0.001,0.0,0.0
washington scathing misogyny,1.0,0.001,0.0,0.0
washington one-liners discreetly,1.0,0.001,0.0,0.0
washington dc bite,1.0,0.001,0.0,0.0
washington dc activist,1.0,0.001,0.0,0.0
washington clinton overdue,1.0,0.001,0.0,0.0
warrioress uma thurman,1.0,0.001,0.0,0.0
warren throwing dna,1.0,0.001,0.0,0.0
warren montana trump,1.0,0.001,0.0,0.0
wardrobes opt footwear,1.0,0.001,0.0,0.0
walmart's cooperation walmart,1.0,0.001,0.0,0.0
walmart leadership's recognition,1.0,0.001,0.0,0.0
wallace's dramatically mary,1.0,0.001,0.0,0.0
wallace stalked abused,1.0,0.001,0.0,0.0
walks fierceness ongoing,1.0,0.001,0.0,0.0
"waking 30,000 messages",1.0,0.001,0.0,0.0
víctimas menos países,1.0,0.001,0.0,0.0
víctimas largo unidos,1.0,0.001,0.0,0.0
víctimas escribió reguera,1.0,0.001,0.0,0.0
víctima garantice presunción,1.0,0.001,0.0,0.0
vía hashtag metoo,1.0,0.001,0.0,0.0
véronique kirschner extremes,1.0,0.001,0.0,0.0
vulnerable truthdig bazaar,1.0,0.001,0.0,0.0
vulnerable scrutiny trauma,1.0,0.001,0.0,0.0
voz víctimas largo,1.0,0.001,0.0,0.0
vox advocacy academia,1.0,0.001,0.0,0.0
vont jusqu'à penser,1.0,0.001,0.0,0.0
von otter suicidó,1.0,0.001,0.0,0.0
volte-face pic pic,1.0,0.001,0.0,0.0
voisine alors restons,1.0,0.001,0.0,0.0
voici aussi quelques,1.0,0.001,0.0,0.0
voiceover narrowed supreme,1.0,0.001,0.0,0.0
voiceover alyssa milano,1.0,0.001,0.0,0.0
voiced referencing businessmen,1.0,0.001,0.0,0.0
vocal rap misogyny,1.0,0.001,0.0,0.0
vocal detailing assaulted,1.0,0.001,0.0,0.0
vocal circulating abusers,1.0,0.001,0.0,0.0
vocal activista campaña,1.0,0.001,0.0,0.0
virtuous conservative activist,1.0,0.001,0.0,0.0
viral milano america,1.0,0.001,0.0,0.0
viral hashtag campaigns,1.0,0.001,0.0,0.0
viols harcèlement agressions,1.0,0.001,0.0,0.0
violent protests charlottesville,1.0,0.001,0.0,0.0
violencia política ejército,1.0,0.001,0.0,0.0
violence workplace harassment,1.0,0.001,0.0,0.0
violence violence reverberated,1.0,0.001,0.0,0.0
violence united campaign,1.0,0.001,0.0,0.0
violence scenarios fountain,1.0,0.001,0.0,0.0
violence pervasive united,1.0,0.001,0.0,0.0
violence mónica tarana,1.0,0.001,0.0,0.0
violence man's hotel,1.0,0.001,0.0,0.0
violence everyday workplace,1.0,0.001,0.0,0.0
violence epidemic supremacists,1.0,0.001,0.0,0.0
violence entrenched tolerated,1.0,0.001,0.0,0.0
violence disproportionately marginalize,1.0,0.001,0.0,0.0
violence ceremonial pushing,1.0,0.001,0.0,0.0
violence america's vulnerable,1.0,0.001,0.0,0.0
violence academia jackie,1.0,0.001,0.0,0.0
violada productor contigo,1.0,0.001,0.0,0.0
violación productor harvey,1.0,0.001,0.0,0.0
violación kate castillo,1.0,0.001,0.0,0.0
violación dando nacimiento,1.0,0.001,0.0,0.0
viola davis women's,1.0,0.001,0.0,0.0
viol voisine alors,1.0,0.001,0.0,0.0
vindicated topic time's,1.0,0.001,0.0,0.0
villains heroes ample,1.0,0.001,0.0,0.0
vigilante retribution rapists,1.0,0.001,0.0,0.0
viewers country's demographics,1.0,0.001,0.0,0.0
viewer's forgiving amnesia,1.0,0.001,0.0,0.0
vie retrouvez-nous facebook,1.0,0.001,0.0,0.0
vie cliquez ici,1.0,0.001,0.0,0.0
victoria's world's most-recognizable,1.0,0.001,0.0,0.0
victims pushing hire,1.0,0.001,0.0,0.0
victims promoted disregarded,1.0,0.001,0.0,0.0
victims privilege advocate,1.0,0.001,0.0,0.0
victims lonesome truth-tellers,1.0,0.001,0.0,0.0
victims insane pic.twitter.com/nafnziaxgh,1.0,0.001,0.0,0.0
victims harassment twitter,1.0,0.001,0.0,0.0
victims abuse harassment,1.0,0.001,0.0,0.0
victimizar sic víctimas,1.0,0.001,0.0,0.0
victim prerequisite victimized,1.0,0.001,0.0,0.0
vicious mississippi canceled,1.0,0.001,0.0,0.0
vice-presidential nominee rosa,1.0,0.001,0.0,0.0
vibrant reminder marvelous,1.0,0.001,0.0,0.0
viable thriving well-being,1.0,0.001,0.0,0.0
veux reprendre hashtag,1.0,0.001,0.0,0.0
veterans washington pentagon,1.0,0.001,0.0,0.0
vestir negro discurso,1.0,0.001,0.0,0.0
vestido apoyando causa,1.0,0.001,0.0,0.0
vermont senate rethinks,1.0,0.001,0.0,0.0
verdict celebrity vanguard,1.0,0.001,0.0,0.0
vent tidy bite,1.0,0.001,0.0,0.0
venom michelle williams,1.0,0.001,0.0,0.0
vengeful alter ego,1.0,0.001,0.0,0.0
vanguard shone spotlight,1.0,0.001,0.0,0.0
vanderpump recap sex-less,1.0,0.001,0.0,0.0
vanderpump bottomless brunch,1.0,0.001,0.0,0.0
valer derechos estimó,1.0,0.001,0.0,0.0
utah cop 80s,1.0,0.001,0.0,0.0
usuarios redes sociales,1.0,0.001,0.0,0.0
upton instagram sexually,1.0,0.001,0.0,0.0
uptick weinstein reporting,1.0,0.001,0.0,0.0
upheavals disasters influx,1.0,0.001,0.0,0.0
upending democratic electorate,1.0,0.001,0.0,0.0
updates kavanaugh shifting,1.0,0.001,0.0,0.0
updated 11:40 russell,1.0,0.001,0.0,0.0
upcoming episode hardtalk,1.0,0.001,0.0,0.0
up.ian buruma quit,1.0,0.001,0.0,0.0
up-inspired unfurling tv,1.0,0.001,0.0,0.0
unwilling broach topic,1.0,0.001,0.0,0.0
unwanted smooch endlessly,1.0,0.001,0.0,0.0
