label,perc
senate roy moore,0.045
republican roy moore,0.034
roy moore alabama,0.025
democrat doug jones,0.021
republican senate roy,0.019
alabama senate roy,0.016
roy moore senate,0.015
judge roy moore,0.015
alabama roy moore,0.013000000000000001
moore alabama senate,0.012
nominee roy moore,0.011000000000000001
alabama republican senate,0.011000000000000001
leader mitch mcconnell,0.01
allegations roy moore,0.01
roy moore misconduct,0.009000000000000001
roy moore allegations,0.009000000000000001
roy moore republican,0.008
alabama senate election,0.008
alabama republican roy,0.008
senate leader mitch,0.006999999999999999
republicans roy moore,0.006999999999999999
moore allegations misconduct,0.006999999999999999
leigh corfman moore,0.006999999999999999
roy moore democrat,0.006
roy moore campaign,0.006
endorsement roy moore,0.006
democratic doug jones,0.006
strategist steve bannon,0.005
senate nominee roy,0.005
roy moore tuesday's,0.005
roy moore gop,0.005
republican senate nominee,0.005
moore sexually assaulted,0.005
moore democrat doug,0.005
election democrat doug,0.005
washington moore pursued,0.004
roy moore trump's,0.004
roy moore trump,0.004
roy moore supporters,0.004
roy moore republicans,0.004
roy moore loses,0.004
roy moore concede,0.004
roy moore alabama's,0.004
roy moore accuser,0.004
roy moore accusations,0.004
republican senate alabama,0.004
pursued teenagers 30s,0.004
poll jones moore,0.004
moore senate alabama,0.004
moore republican senate,0.004
moore pursued teenagers,0.004
moore donald trump,0.004
moore alabama's senate,0.004
gop nominee roy,0.004
endorsed roy moore,0.004
doug jones republican,0.004
alabama's senate election,0.004
trump's endorsement roy,0.003
trump roy moore,0.003
trump endorsed moore,0.003
supreme roy moore,0.003
strategist stephen bannon,0.003
senate roy moore's,0.003
senate judge roy,0.003
senate alabama roy,0.003
roy moore's campaign,0.003
roy moore washington,0.003
roy moore speaks,0.003
roy moore election,0.003
republican nomination senate,0.003
opponent doug jones,0.003
nelson alleged moore,0.003
moore tuesday's election,0.003
moore senate expel,0.003
moore republican alabama,0.003
moore doug jones,0.003
moore campaign rally,0.003
moore alabama supreme,0.003
moore alabama republican,0.003
mitch mcconnell r-ky,0.003
jones roy moore,0.003
gop senate roy,0.003
gop roy moore,0.003
endorse roy moore,0.003
election senate alabama,0.003
election roy moore,0.003
doug jones victory,0.003
doug jones roy,0.003
doug jones defeated,0.003
client beverly nelson,0.003
beverly nelson alleged,0.003
bannon roy moore,0.003
alleged moore sexually,0.003
alabama's roy moore,0.003
accuses roy moore,0.003
accusations credible campaigning,0.003
write-in tax senate,0.002
women's accusations credible,0.002
washington post-schar poll,0.002
victory republican roy,0.002
urging roy moore,0.002
trump's near-endorsement alabama,0.002
trump republican senate,0.002
trump moore's opponent,0.002
trump misconduct moore,0.002
trump endorsed roy,0.002
trump defends roy,0.002
trump alabama republican,0.002
tolerate moore's alleged,0.002
testify oath senate,0.002
teenagers moore 30s,0.002
tax senate tax,0.002
tax markup mcconnell,0.002
sweeter merry christmas,0.002
steve bannon trump's,0.002
steve bannon rally,0.002
stacked donald trump,0.002
"spends 500,000 roy",0.002
spectator pro forma,0.002
snl's roy moore,0.002
signature nelson's document,0.002
shelley moore capito,0.002
sexually harassing assaulting,0.002
sexually assaulted teenagers,0.002
sexually assaulted teenage,0.002
severed ties moore,0.002
senate tax markup,0.002
senate republicans trump,0.002
senate judiciary subpoena,0.002
senate hopeful roy,0.002
senate expel united,0.002
senate expel moore,0.002
senate election democrat,0.002
senate election alabama,0.002
senate doug jones,0.002
russian vladimir putin,0.002
rubin roy moore,0.002
roy stacked donald,0.002
roy moore's bizarre,0.002
roy moore's accusers,0.002
roy moore withdraw,0.002
roy moore wins,0.002
roy moore scandal,0.002
roy moore refuses,0.002
roy moore moore,0.002
roy moore leader,0.002
roy moore initiating,0.002
roy moore initiated,0.002
roy moore franken,0.002
roy moore fox,0.002
roy moore endorsed,0.002
roy moore doug,0.002
roy moore depleted,0.002
roy moore denies,0.002
roy moore credible,0.002
roy moore citing,0.002
roy moore child,0.002
roy moore assault,0.002
republicans vying senate,0.002
republican senatorial moore,0.002
republican senatorial campaign,0.002
republican nominee roy,0.002
republican moore trump,0.002
republican leader mitch,0.002
republican corey stewart,0.002
reject roy moore,0.002
quit alabama senate,0.002
pursuing teenagers 30s,0.002
pro forma republicans,0.002
poll republican senatorial,0.002
poll moore jones,0.002
poll alabama's senate,0.002
poll alabama senate,0.002
photo roy moore,0.002
phillip jauregui moore,0.002
pedophilia accusation alabama,0.002
paul ryan tax,0.002
pat caddell gop,0.002
obama campaign staffers,0.002
near-endorsement alabama republican,0.002
mulls write-in tax,0.002
moore's democratic opponent,0.002
moore's campaign armistead,0.002
moore's assault allegations,0.002
moore's alleged dubious,0.002
moore's accusers credible,0.002
moore withdraw alabama,0.002
moore wins election,0.002
moore unwanted advances,0.002
moore trump tweeted,0.002
moore supporters cult,0.002
moore sexually harassing,0.002
moore sexually assaulting,0.002
moore senate leader,0.002
moore senate election,0.002
moore senate campaign,0.002
moore roy moore,0.002
moore republican nominee,0.002
moore republican nomination,0.002
moore misconduct teenagers,0.002
moore misconduct allegations,0.002
moore leader republicans,0.002
moore initiating teenage,0.002
moore dogged allegations,0.002
moore digs gop,0.002
moore deputy district,0.002
moore citing candidate's,0.002
moore christian conservative,0.002
moore child molester,0.002
moore banned mall,0.002
moore allegations calling,0.002
moore accusations election,0.002
moore accusation false,0.002
mitch mcconnell roy,0.002
mitch mcconnell moore's,0.002
mitch mcconnell moore,0.002
"mcmullin spends 500,000",0.002
mcconnell moore's accusers,0.002
mcconnell bannon threats,0.002
marries judicial judge,0.002
markup mcconnell bannon,0.002
luther roy moore,0.002
luther alabama senate,0.002
leader republicans vying,0.002
judiciary subpoena moore,0.002
judicial judge roy,0.002
judge moore groped,0.002
jones republican roy,0.002
jones month's election,0.002
johnson's daniel sitz,0.002
jauregui moore campaign,0.002
intends alabama campaign,0.002
hopeful roy moore,0.002
hannity dating teenagers,0.002
gop mulls write-in,0.002
gop bannon roy,0.002
gloria allred beverly,0.002
fox roger ailes,0.002
forma republicans roy,0.002
expel united senate,0.002
evan mcmullin spends,0.002
election montgomery alabama,0.002
election montgomery ala,0.002
election doug jones,0.002
election alabama republican,0.002
doug jones moore,0.002
doug jones democrat,0.002
donald trump roy,0.002
digs gop mulls,0.002
deputy district etowah,0.002
deploy fortify mexico,0.002
denies roy moore,0.002
defends roy moore,0.002
defeating republican roy,0.002
custody johnson's daniel,0.002
credible campaigning roy,0.002
credible allegations child,0.002
cory gardner senate,0.002
corfman moore touching,0.002
cnn roy dated,0.002
citing candidate's denial,0.002
child molester roy,0.002
cernovich's tolerate moore's,0.002
campaigning roy moore,0.002
campaign republican roy,0.002
caddell gop bannon,0.002
blitzer roy moore,0.002
bezos amazon washington,0.002
