term,left_bin,left_perc,right_bin,right_perc
harassment assault,10.0,0.064,4.0,0.021
harvey weinstein,6.0,0.035,5.0,0.031
harassment allegations,5.0,0.032,6.0,0.034
allegations harassment,5.0,0.03,5.0,0.026000000000000002
harassment abuse,5.0,0.027999999999999997,3.0,0.013999999999999999
workplace harassment,4.0,0.023,2.0,0.006999999999999999
sexually harassed,4.0,0.022000000000000002,3.0,0.016
assault allegations,4.0,0.02,2.0,0.006999999999999999
misconduct allegations,3.0,0.019,3.0,0.018000000000000002
donald trump,3.0,0.018000000000000002,1.0,0.004
allegations misconduct,3.0,0.016,3.0,0.016
roy moore,3.0,0.013999999999999999,2.0,0.006999999999999999
sexually assaulted,3.0,0.013000000000000001,3.0,0.015
harassment misconduct,2.0,0.012,1.0,0.005
assault harassment,2.0,0.012,2.0,0.009000000000000001
kevin spacey,2.0,0.011000000000000001,2.0,0.008
harassment discrimination,2.0,0.011000000000000001,1.0,0.004
brett kavanaugh,2.0,0.011000000000000001,2.0,0.006999999999999999
lexington herald,2.0,0.01,0.0,0.0
herald leader,2.0,0.01,0.0,0.0
harassment workplace,2.0,0.01,2.0,0.011000000000000001
sexually harassing,2.0,0.009000000000000001,3.0,0.013000000000000001
roger ailes,2.0,0.009000000000000001,1.0,0.003
john conyers,2.0,0.009000000000000001,2.0,0.012
supreme nominee,2.0,0.008,1.0,0.004
harassment accusations,2.0,0.008,2.0,0.006999999999999999
accusations harassment,2.0,0.008,2.0,0.006999999999999999
sexually assaulting,2.0,0.006999999999999999,2.0,0.006999999999999999
senate roy,2.0,0.006999999999999999,1.0,0.003
jeff hoover,2.0,0.006999999999999999,0.0,0.0
gretchen carlson,2.0,0.006999999999999999,0.0,0.0
victims harassment,1.0,0.006,1.0,0.006
producer harvey,1.0,0.006,1.0,0.004
nominee brett,1.0,0.006,1.0,0.004
matt lauer,1.0,0.006,2.0,0.006999999999999999
harvey weinstein's,1.0,0.006,1.0,0.004
harassment capitol,1.0,0.006,0.0,0.0
harassed assaulted,1.0,0.006,1.0,0.002
discrimination harassment,1.0,0.006,1.0,0.003
clarence thomas,1.0,0.006,1.0,0.004
assault rape,1.0,0.006,1.0,0.005
alleged misconduct,1.0,0.006,1.0,0.003
allegations assault,1.0,0.006,1.0,0.004
accusations misconduct,1.0,0.006,1.0,0.003
weinstein harassment,1.0,0.005,1.0,0.005
los angeles,1.0,0.005,1.0,0.006
harassment harassment,1.0,0.005,0.0,0.0
harassment bullying,1.0,0.005,1.0,0.002
christine blasey,1.0,0.005,1.0,0.005
alleged harassment,1.0,0.005,3.0,0.013999999999999999
abuse harassment,1.0,0.005,2.0,0.006999999999999999
abuse allegations,1.0,0.005,1.0,0.006
woody allen,1.0,0.004,0.0,0.0
victims assault,1.0,0.004,0.0,0.0
trump resign,1.0,0.004,0.0,0.0
trump campaign,1.0,0.004,1.0,0.001
survivors assault,1.0,0.004,1.0,0.001
nonconsensual touching,1.0,0.004,0.0,0.0
nancy pelosi,1.0,0.004,0.0,0.0
lecturing harassment,1.0,0.004,0.0,0.0
kentucky jeff,1.0,0.004,0.0,0.0
harassment scandal,1.0,0.004,2.0,0.006999999999999999
gender discrimination,1.0,0.004,1.0,0.003
donald trump's,1.0,0.004,1.0,0.004
bullying harassment,1.0,0.004,0.0,0.0
assault supreme,1.0,0.004,0.0,0.0
assault misconduct,1.0,0.004,0.0,0.0
amazon studios,1.0,0.004,0.0,0.0
allegation harassment,1.0,0.004,1.0,0.003
weinstein scandal,1.0,0.003,1.0,0.002
weinstein kevin,1.0,0.003,0.0,0.0
victim harassment,1.0,0.003,1.0,0.002
studios roy,1.0,0.003,0.0,0.0
simmons sexually,1.0,0.003,0.0,0.0
senate leader,1.0,0.003,0.0,0.0
russell simmons,1.0,0.003,1.0,0.002
revelations harvey,1.0,0.003,0.0,0.0
resigned harassment,1.0,0.003,1.0,0.002
resign allegations,1.0,0.003,1.0,0.002
republican senate,1.0,0.003,0.0,0.0
reporting harassment,1.0,0.003,0.0,0.0
paula jones,1.0,0.003,1.0,0.004
o'reilly harassment,1.0,0.003,0.0,0.0
mitch mcconnell,1.0,0.003,0.0,0.0
megyn kelly,1.0,0.003,0.0,0.0
media harassment,1.0,0.003,0.0,0.0
leader nancy,1.0,0.003,0.0,0.0
leader mitch,1.0,0.003,0.0,0.0
lawsuit ailes,1.0,0.003,0.0,0.0
kirsten gillibrand,1.0,0.003,0.0,0.0
james toback,1.0,0.003,0.0,0.0
investigate harassment,1.0,0.003,1.0,0.002
inappropriate workplace,1.0,0.003,0.0,0.0
harassment violence,1.0,0.003,0.0,0.0
harassment victims,1.0,0.003,1.0,0.003
harassment scandals,1.0,0.003,1.0,0.003
harassment roger,1.0,0.003,0.0,0.0
harassment retaliation,1.0,0.003,1.0,0.002
harassment npr,1.0,0.003,0.0,0.0
harassment lawsuit,1.0,0.003,2.0,0.008
harassment intimidation,1.0,0.003,1.0,0.004
harassment fox,1.0,0.003,0.0,0.0
harassment complaints,1.0,0.003,2.0,0.008
harassment complaint,1.0,0.003,1.0,0.006
fox harassment,1.0,0.003,1.0,0.002
epidemic harassment,1.0,0.003,0.0,0.0
democratic franken,1.0,0.003,0.0,0.0
corey lewandowski,1.0,0.003,0.0,0.0
complaints harassment,1.0,0.003,0.0,0.0
committing assault,1.0,0.003,0.0,0.0
campaign corey,1.0,0.003,0.0,0.0
blasey ford's,1.0,0.003,0.0,0.0
assault victims,1.0,0.003,1.0,0.002
assault survivors,1.0,0.003,0.0,0.0
assault nonconsensual,1.0,0.003,0.0,0.0
assault abuse,1.0,0.003,0.0,0.0
anti-sexual harassment,1.0,0.003,1.0,0.003
anita hill's,1.0,0.003,0.0,0.0
alleged sexually,1.0,0.003,0.0,0.0
alleged assault,1.0,0.003,0.0,0.0
allegations harvey,1.0,0.003,0.0,0.0
ailes harassment,1.0,0.003,0.0,0.0
accuse harassment,1.0,0.003,1.0,0.002
abuse workplace,1.0,0.003,0.0,0.0
yorker writer,1.0,0.002,0.0,0.0
yale students,1.0,0.002,0.0,0.0
workplace discrimination,1.0,0.002,0.0,0.0
women's harassment,1.0,0.002,1.0,0.001
weinstein's harassment,1.0,0.002,0.0,0.0
weinstein's alleged,1.0,0.002,1.0,0.003
weinstein trump,1.0,0.002,0.0,0.0
weinstein sexually,1.0,0.002,0.0,0.0
weinstein misconduct,1.0,0.002,0.0,0.0
weinstein alleged,1.0,0.002,1.0,0.001
weiner harassment,1.0,0.002,0.0,0.0
watershed harassment,1.0,0.002,0.0,0.0
washington donald,1.0,0.002,0.0,0.0
viral hashtag,1.0,0.002,0.0,0.0
uncomfortable harassment,1.0,0.002,0.0,0.0
twitter instagram,1.0,0.002,0.0,0.0
trump's accusers,1.0,0.002,1.0,0.001
trump tweeted,1.0,0.002,1.0,0.002
trump sexually,1.0,0.002,1.0,0.001
trump defends,1.0,0.002,0.0,0.0
