label,perc
harassment,0.684
allegations,0.215
assault,0.19699999999999998
misconduct,0.124
sexually,0.091
weinstein,0.081
accusations,0.06
workplace,0.053
abuse,0.052000000000000005
harvey,0.049
victims,0.046
trump,0.037000000000000005
complaints,0.036000000000000004
media,0.035
violence,0.032
inappropriate,0.027999999999999997
scandal,0.027000000000000003
resign,0.027000000000000003
investigating,0.027000000000000003
democratic,0.026000000000000002
advances,0.026000000000000002
senate,0.024
fox,0.024
actress,0.023
university,0.022000000000000002
nbc,0.022000000000000002
producer,0.021
discrimination,0.021
campaign,0.021
reporting,0.02
rape,0.02
republican,0.019
lauer,0.019
california,0.019
women's,0.017
moore,0.017
cbs,0.017
students,0.016
cosby,0.016
congress,0.016
american,0.016
unwanted,0.015
o'reilly,0.013999999999999999
lawsuit,0.013999999999999999
united,0.013000000000000001
lawmakers,0.013000000000000001
clinton,0.013000000000000001
america,0.013000000000000001
washington,0.012
violation,0.012
survivors,0.012
john,0.012
gender,0.012
franken,0.012
advocate,0.012
tweet,0.011000000000000001
professor,0.011000000000000001
moonves,0.011000000000000001
mogul,0.011000000000000001
matt,0.011000000000000001
education,0.011000000000000001
cnn,0.011000000000000001
campus,0.011000000000000001
twitter,0.01
spacey,0.01
roy,0.01
mps,0.01
ford,0.01
employers,0.01
donald,0.01
dismissed,0.01
denies,0.01
crime,0.01
transparent,0.009000000000000001
tolerance,0.009000000000000001
predators,0.009000000000000001
los,0.009000000000000001
leader,0.009000000000000001
kevin,0.009000000000000001
judge,0.009000000000000001
executives,0.009000000000000001
dozens,0.009000000000000001
angeles,0.009000000000000001
activist,0.009000000000000001
surfaced,0.008
supreme,0.008
staffers,0.008
ryan,0.008
ratner,0.008
photo,0.008
perpetrators,0.008
nfl,0.008
kozinski's,0.008
kavanaugh,0.008
journalist,0.008
james,0.008
ix,0.008
conyers,0.008
conservative,0.008
challenges,0.008
capitol,0.008
brett,0.008
accountable,0.008
yorker,0.006999999999999999
wynn,0.006999999999999999
weaponization,0.006999999999999999
tambor,0.006999999999999999
sued,0.006999999999999999
revelations,0.006999999999999999
probe,0.006999999999999999
pervasive,0.006999999999999999
nominee,0.006999999999999999
meehan,0.006999999999999999
initially,0.006999999999999999
industries,0.006999999999999999
garcia,0.006999999999999999
founder,0.006999999999999999
election,0.006999999999999999
defenders,0.006999999999999999
crews,0.006999999999999999
confidential,0.006999999999999999
careers,0.006999999999999999
apologized,0.006999999999999999
anita,0.006999999999999999
amazon,0.006999999999999999
alabama,0.006999999999999999
ailes,0.006999999999999999
