chr,label,start,end,value
UNIGRAMS,kavanaugh,0,1,29.0
UNIGRAMS,brett,1,2,16.0
UNIGRAMS,supreme,2,3,12.0
UNIGRAMS,senate,3,4,11.0
UNIGRAMS,judge,4,5,10.0
BIGRAMS,brett kavanaugh,0,1,13.0
BIGRAMS,supreme nominee,1,2,8.0
BIGRAMS,nominee brett,2,3,5.0
BIGRAMS,judge kavanaugh,3,4,4.0
BIGRAMS,christine blasey,4,5,4.0
TRIGRAMS,supreme nominee brett,0,1,7.0
TRIGRAMS,nominee brett kavanaugh,1,2,6.0
TRIGRAMS,christine blasey ford,2,3,3.0
TRIGRAMS,judge brett kavanaugh,3,4,2.0
TRIGRAMS,brett kavanaugh supreme,4,5,1.0
PEOPLE,Brett Kavanaugh,0,1,28.0
PEOPLE,Christine Blasey Ford,1,2,22.0
PEOPLE,Donald Trump,2,3,19.0
PEOPLE,Trump,3,4,15.0
PEOPLE,Susan Collins,4,5,9.0
ORGANIZATION,Supreme Court,0,1,27.0
ORGANIZATION,Senate,1,2,25.0
ORGANIZATION,Senate Judiciary Committee,2,3,20.0
ORGANIZATION,Ford,3,4,18.0
ORGANIZATION,White House,4,5,17.0
THEME,politics and government,0,1,26.0
THEME,crime and criminals,1,2,24.0
THEME,united states politics and government,2,3,23.0
THEME,sex crimes,3,4,21.0
THEME,appointments and executive changes,4,5,14.0
