chr,label,start,end,value
UNIGRAMS,ailes,0,1,22.0
UNIGRAMS,roger,1,2,17.0
UNIGRAMS,fox,2,3,16.0
UNIGRAMS,harassment,3,4,14.0
UNIGRAMS,allegations,4,5,8.0
BIGRAMS,roger ailes,0,1,15.0
BIGRAMS,harvey weinstein,1,2,7.0
BIGRAMS,fox roger,2,3,7.0
BIGRAMS,ailes o'reilly,3,4,7.0
BIGRAMS,gretchen carlson,4,5,5.0
TRIGRAMS,fox roger ailes,0,1,6.0
TRIGRAMS,roger ailes o'reilly,1,2,4.0
TRIGRAMS,roger ailes harassment,2,3,3.0
TRIGRAMS,roger ailes fox,3,4,2.0
TRIGRAMS,ceo roger ailes,4,5,1.0
PEOPLE,Roger Ailes,0,1,28.0
PEOPLE,Harvey Weinstein,1,2,25.0
PEOPLE,Gretchen Carlson,2,3,21.0
PEOPLE,Donald Trump,3,4,20.0
PEOPLE,Bill Cosby,4,5,10.0
ORGANIZATION,Fox News,0,1,27.0
ORGANIZATION,New York Times,1,2,19.0
ORGANIZATION,White House,2,3,13.0
ORGANIZATION,Senate,3,4,12.0
ORGANIZATION,Congress,4,5,11.0
THEME,crime and criminals,0,1,26.0
THEME,sex crimes,1,2,24.0
THEME,women,2,3,23.0
THEME,politics and government,3,4,18.0
THEME,sexual harassment,4,5,9.0
