chr,label,start,end,value
UNIGRAMS,harassment,0,1,29.0
UNIGRAMS,allegations,1,2,23.0
UNIGRAMS,assault,2,3,22.0
UNIGRAMS,misconduct,3,4,16.0
UNIGRAMS,sexually,4,5,12.0
BIGRAMS,harassment assault,0,1,9.0
BIGRAMS,harassment allegations,1,2,8.0
BIGRAMS,harvey weinstein,2,3,7.0
BIGRAMS,allegations harassment,3,4,6.0
BIGRAMS,sexually assaulted,4,5,5.0
TRIGRAMS,producer harvey weinstein,0,1,4.0
TRIGRAMS,allegations harassment assault,1,2,3.0
TRIGRAMS,allegations harvey weinstein,2,3,2.0
TRIGRAMS,sexually harassed assaulted,3,4,1.0
TRIGRAMS,leader nancy pelosi,4,5,1.0
PEOPLE,Harvey Weinstein,0,1,24.0
PEOPLE,Donald Trump,1,2,17.0
PEOPLE,Trump,2,3,13.0
PEOPLE,Al Franken,3,4,11.0
PEOPLE,Roy Moore,4,5,10.0
ORGANIZATION,Senate,0,1,20.0
ORGANIZATION,New York Times,1,2,19.0
ORGANIZATION,Congress,2,3,18.0
ORGANIZATION,White House,3,4,15.0
ORGANIZATION,House,4,5,14.0
THEME,crime and criminals,0,1,28.0
THEME,sex crimes,1,2,27.0
THEME,politics and government,2,3,26.0
THEME,women,3,4,25.0
THEME,sexual harassment,4,5,21.0
